title,url,img,alt_text
"प्लेयर्स को टॉयलेट में रखा खाना खिलाया, VIDEO सहारनपुर स्टेडियम के स्वीमिंग पूल में खाना बना, टॉयलेट में रखा, इसे प्लेट में रखती दिखीं बच्चियां",/local/uttar-pradesh/saharanpur/news/in-saharanpur-rice-puris-were-kept-amidst-the-stench-the-players-filled-their-stomachs-by-eating-salad-sports-officer-suspended-130338905.html,https://images.bhaskarassets.com/web2images/521/2022/09/20/comp-4_1663655336.gif,"सहारनपुर स्टेडियम के स्वीमिंग पूल में खाना बना, टॉयलेट में रखा, इसे प्लेट में रखती दिखीं बच्चियां|सहारनपुर,Saharanpur - Dainik Bhaskar"
"जानिए महाकाल कॉरिडोर के बारे में, इसका मोदी करेंगे लोकार्पण: यहां देश का पहला नाइट गार्डन; काशी विश्वनाथ से चार गुना बड़ा प्रोजेक्ट",/local/mp/ujjain/news/here-the-countrys-first-night-garden-project-is-four-times-bigger-than-kashi-vishwanath-130338779.html,https://images.bhaskarassets.com/web2images/521/2022/09/20/modi-update-3_1663654391.gif,"यहां देश का पहला नाइट गार्डन; काशी विश्वनाथ से चार गुना बड़ा प्रोजेक्ट|उज्जैन,Ujjain - Dainik Bhaskar"
"चंडीगढ़ यूनिवर्सिटी MMS कांड: आरोपी लड़की के 12 आपत्तिजनक फुटेज मिले; ब्लैकमेलर्स की दिल्ली, मुंबई और गुजरात कई बार हुई बात",/local/punjab/news/chandigarh-university-girls-bathroom-video-leak-mms-scandal-130339158.html,https://images.bhaskarassets.com/web2images/521/2022/09/20/_1663657805.jpg,"आरोपी लड़की के 12 आपत्तिजनक फुटेज मिले; ब्लैकमेलर्स की दिल्ली, मुंबई और गुजरात कई बार हुई बात|पंजाब,Punjab - Dainik Bhaskar"
